Athlete,Profile Link 1,Profile Link 2,event,time,,,,position,,,,venue,meeting,date,venue-link,category
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,parkrun,18:20,,,,22,,,,Edinburgh Silverknowes,Edinburgh parkrun # 281,14 Mar 15,http://powerof10.info/results/results.aspx?meetingid=133300&event=parkrun&venue=Edinburgh+Silverknowes&date=14-Mar-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,parkrun,18:23,,,,30,,,,Edinburgh Silverknowes,Edinburgh parkrun # 282,21 Mar 15,http://powerof10.info/results/results.aspx?meetingid=133688&event=parkrun&venue=Edinburgh+Silverknowes&date=21-Mar-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,parkrun,20:38,,,,61,,,,Edinburgh Silverknowes,Edinburgh parkrun # 302,8 Aug 15,http://powerof10.info/results/results.aspx?meetingid=145320&event=parkrun&venue=Edinburgh+Silverknowes&date=8-Aug-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,8.2KXC,36:23,,,,53,,,,Alloa,Scottish East District League,21 Nov 15,http://powerof10.info/results/results.aspx?meetingid=148124&event=8.2KXC&venue=Alloa&date=21-Nov-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,9.6KXC,37:45,,,,99,,,,Livingston,Scottish East District Championships,12 Dec 15,http://powerof10.info/results/results.aspx?meetingid=148136&event=9.6KXC&venue=Livingston&date=12-Dec-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,Mar,3:19:29,,,3:18:40,1397,,,,|Amsterdam, NED|,TCS Amsterdam Marathon,18 Oct 15,http://powerof10.info/results/results.aspx?meetingid=149024&event=Mar&venue=Amsterdam%2c+NED&date=18-Oct-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,28:26,,,,22,,,,Dunbar,Scottish Borders League,15 Nov 15,http://powerof10.info/results/results.aspx?meetingid=148219&event=ZXC&venue=Dunbar&date=15-Nov-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,28:53,,,,19,,,,Lauder,Scottish Borders League,1 Nov 15,http://powerof10.info/results/results.aspx?meetingid=148218&event=ZXC&venue=Lauder&date=1-Nov-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,30:40,,,,31,,,,Peebles,Scottish Borders League,29 Nov 15,http://powerof10.info/results/results.aspx?meetingid=148220&event=ZXC&venue=Peebles&date=29-Nov-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,50:10,,,,268,,,,Falkirk,Scottish National Championships,22 Feb 15,http://powerof10.info/results/results.aspx?meetingid=118197&event=ZXC&venue=Falkirk&date=22-Feb-15,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4KXCL,15:12,,,,14,L4,,,Peebles,Scottish East District Relay Championships,12 Oct 14,http://powerof10.info/results/results.aspx?meetingid=118182&event=4KXCL&venue=Peebles&date=12-Oct-14,SEN
